igala,english
"Oñ O̩jo̩ do̩ ane̩ e̩gbe̩ le̩ ko̩ ane̩-ile̩, ujeju omi i la do̩ ko̩ ohimini abadi. O̩jo̩ la li kʼi nyo̩.","And God called the dry
land Earth; and the gathering together of the waters called he Seas: and God saw that
it was good."
Abe̩le̩ o̩jo̩ Matusala chaka du la chʼo̩do̩ icham nyʼo̩gbo̩ me̩jo̩ nyoke me̩la; tak i leku.,"If thou doest well, shalt thou not be accepted? and if thou doest not well, sin lieth at the door. And unto thee
shall be his desire, and thou shalt rule over him."
"Tak O̩jo̩ ka ñwu Noa kakini,",And all the days of Cainan were nine hundred and ten years: and he died.
"Amo̩ma e̩ne̩ke̩le̩ Jafan la che: Elisha, kpai Tarshish, Kitim, kpai Dodanim.","These
are the generations of Noah: Noah was a just man
and perfect in his generations,
and Noah walked with God."
"E̩ne̩ ku ma bi ef unyi-we̩ kpai e̩ne̩ kʼuwe̩ nʼo̩ko̩-we̩ la, ma adʼe̩pi-ma chuu. Abe̩le̩ alo-mi adʼef o̩re̩la-me̩ ki chʼalo ogbegbele̩.","And the sons of Noah, that went forth of the ark, were Shem, and Ham, and Japheth: and Ham is the father of Canaan."
"Oñ omi le̩ dabu alo waa gbogbo wʼochu e̩ke̩gwa; ochu e̩ke̩gwa, o̩jo̩ ejodudu ochu le̩, ma li oj uwo oj uwo.","And Enos lived after he begat Cainan eight hundred and fifteen years, and begat sons and daughters:"
"Se̩t ge̩, ma ño̩ fʼo̩me̩ne̩ke̩le̩ bi ñw u, tak i dʼodu-wñ ko̩ Ino̩sh. E̩gbale̩ tak amone̩ chane̩ e̩do̩ odu Jihofa.
Akwo Ade̩m wa Noa","And I will put enmity between thee and the woman, and between thy seed and her seed; it shall bruise thy head, and thou shalt bruise his heel."
Oñ i lewatu ab o̩jo̩ mebie jo̩ uwobi omi la bʼane̩-ile̩ ma.,"This
is the book of the generations of Adam. In the day that God created man, in the likeness of God made he him;"
"Taku Fero fʼEbram do̩, oñ i kakini, E̩wñ chʼe-kʼuwe̩ che mi-i? E̩wñ chi kʼe̩ ma ka ñwu mi kʼowñ chʼo̩ya-we̩ n?",Fifteen cubits upward did the waters prevail; and the mountains were covered.
"Tak i fʼabo-wñ kpe̩ru wa bʼuma ma odu, owñ kpai amadu-wñ, oñ i gwo ma i ño̩ ra no ma gbogbo wa Hoba, kʼi dʼo̩wo̩ awohi Damaskus.","And the ark rested in the seventh month, on the seventeenth day of the month, upon the mountains of Ararat."
"Taki Ken ka ñwu Jihofa kakini, Udu kʼe̩ bu mi-i i nana tʼumi le.","And the woman said unto the serpent, We may eat of the fruit of the trees of the garden:"
"Tak O̩jo̩ kakini, Ef omi ki ko̩ ñw amonugo e̩wñ iñmi ke, ame̩we̩ ki nawu ate̩ ane̩-ile̩ ef agbagba ki che̩chi te̩ efojale.","And God made two great lights; the greater light to rule the day, and the lesser light to rule the night:
he made the stars also."
"Tak i ka ñw u kakini, Omi che Jihofa kʼi dʼuwe̩ kwo Ur e-abo Kaldia wa, kʼu dʼane̩ kide̩ ñw e̩ kʼe̩ ne̩.","And Noah went forth, and his sons, and his wife, and his sons’ wives with him:"
"Kpai ame̩wñ iñmi ane̩-ile̩ okoke du, kpai ame̩we̩ ojale okoke du, kpai ame̩wñ du ki afa ane̩-ile̩-i; e-du kʼonugo e-iñmi dʼef uwñ, e̩wñ eñmi emimi kwe̩ kwe̩ kwe̩ du chʼutodu uje̩wñ. Abe̩le̩ i la de̩.","And God said, Let us make man in our image, after our likeness: and let them have dominion over the fish of the sea, and over the fowl of the air, and over the cattle, and over all the earth, and over every creeping thing that creepeth upon the earth."
Odu ohimini e̩ke̩ta la ko̩ Hide̩ke̩l: e-le̩ chʼe-kʼi a cha lʼo̩wo̩ olodudu Asiria le̩. Oñ ohimini e̩ke̩le̩ che Yufretis.,"Thus the heavens and the earth were finished, and all the host of them."
"Oñ i kakini, U gbʼiche̩-we̩ ef uche̩, oñ u railo, todabu kʼu tago ofo; tak u dʼo̩lami maja-i.","And the LORD God commanded the man, saying, Of every tree of the garden thou mayest freely eat:"
"Ukpo̩ta la dʼojane̩ le̩ akpa. Oñ Ebram gwo̩ru nyʼIjipti kʼi ge̩ne̩ o̩mo̩, todu ukpo̩ta akpa tabale ojane̩ le̩.","They, and every beast after his kind, and all the cattle after their kind, and every creeping thing that creepeth upon the earth after his kind, and every fowl after his kind, every bird of every sort."
"Oñ Matusala deju o̩do̩ o̩gbo̩ me̩la nyoke mebie, tak i bi Lame̩k.","But unto Cain and to his offering he had not respect. And Cain was very wroth, and his countenance fell."
"O̩do̩ Ebram la chʼo̩gbo̩ me̩le̩ nyoke me̩fa e̩gba ku Hega bi Ishmae̩l ñw Ebram.
Alo ekpe̩ e-e̩pi eda le̩","And surely your blood of your lives will I require; at the hand of every beast will I require it, and at the hand of man; at the hand of every man’s brother will I require the life of man."
"Tak O̩jo̩ fʼane̩-ile̩-i go, go, i la mubie̩ te̩: todu o̩re̩la du fʼo̩na-wñ bie̩ ane̩-ile̩.","And Adah bare Jabal: he was the father of such as dwell in tents, and
of such as have cattle."
Jihofa muda li Noa eju.,"And Cain went out from the presence of the LORD, and dwelt in the land of Nod, on the east of Eden."
"Oñ ane̩ do̩mo̩, odudu la do̩mo̩, o̩jo̩ e̩ke̩lu.",And the evening and the morning were the fourth day.
"Abu kʼi fu Matusala bi Ino̩k tale kpai O̩jo̩ o̩do̩ oli me̩fa, i ño̩ bi amo̩ma e̩ne̩ke̩le̩ kpai onobule̩.","And she again bare his brother Abel. And Abel was a keeper of sheep, but Cain was a tiller of the ground."
"O̩lo̩pu amo̩ma Noa e-e̩ne̩ke̩le̩ o̩gba o̩gba de̩, She̩m, kpai Ham, kpai Jefe̩t; ma ño̩ fʼamo̩ma e̩ne̩ke̩le̩ bi ñwu ma abu kʼuwobi omi le̩ lale.","And it repented the LORD that he had made man on the earth, and it grieved him at his heart."
